Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
13.08 mpg Imp.,13.68 MPG (AS),14.40 mpg Imp.
16.92 mpg Imp.,12.10 L/100 km,19.31 mpg Imp.
11.70 liters per 100 km,7.70 L/100 km,0.99 L/10km
4.70 L/100 km,0.59 L/10km,5.24 L/100km
1.33 L/10km,11.76 km/L,11.14 liters per 100 km
14.50 liters per 100 km,30.70 mpg Imp.,19.42 MPG (AS)
11.50 liters per 100 km,27.35 MPG (AS),10.20 L/100 km
23.76 MPG (AS),8.30 L/100km,9.18 L/100km
22.78 mpg Imp.,9.60 L/100km,21.11 MPG (AS)
24.35 mpg Imp.,8.10 L/100 km,23.46 MPG (AS)
28.25 mpg Imp.,8.30 L/100km,9.23 L/100km
8.93 km/L,6.60 L/100km,10.95 km/L
15.80 liters per 100 km,9.60 L/100 km,13.01 L/100km
18.97 MPG (AS),12.50 L/100km,12.45 liters per 100 km
14.95 mpg Imp.,13.40 L/100 km,17.20 mpg Imp.
16.68 MPG (AS),0.86 L/10km,11.62 L/100km
10.00 km/L,13.33 km/L,31.83 mpg Imp.
14.40 L/100km,,7.58 km per L
6.54 km per L,10.64 km/L,1.26 L/10km
29.12 mpg Imp.,41.54 mpg Imp.,8.39 liters per 100 km
18.52 km/L,6.60 L/100 km,39.60 MPG (AS)
17.69 MPG (AS),22.42 mpg Imp.,12.98 L/100 km
10.53 km/L,38.70 mpg Imp.,27.64 MPG (AS)
1.46 L/10km,11.50 L/100km,13.21 L/100km
2.08 L/10km,25.22 mpg Imp.,6.07 km/L
13.30 L/100km,37.66 mpg Imp.,10.69 L/100km
12.80 liters per 100 km,,
21.78 MPG (AS),7.10 liters per 100 km,10.95 km per L
16.00 L/100km,31.04 mpg Imp.,7.75 km per L
9.62 km/L,zero,32.01 mpg Imp.
1.32 L/10km,,10.99 liters per 100 km
,39.79 mpg Imp.,1.13 L/10km
4.98 km per L,9.20 L/100 km,15.20 L/100 km
,9.90 km per L,11.37 L/100km
12.20 liters per 100 km,9.80 km per L,25.00 mpg Imp.
18.52 MPG (AS),25.85 MPG (AS),21.23 MPG (AS)
0.95 L/10km,35.76 mpg Imp.,26.79 MPG (AS)
2.05 L/10km,21.73 mpg Imp.,17.12 liters per 100 km
12.40 L/100km,8.50 liters per 100 km,9.39 km/L
12.78 MPG (AS),11.20 L/100km,6.60 km per L
6.67 km per L,21.58 MPG (AS),1.32 L/10km
,12.99 km/L,10.51 liters per 100 km
13.60 liters per 100 km,12.50 km/L,
9.43 km/L,32.85 mpg Imp.,9.70 L/100km
5.32 km/L,16.90 L/100km,5.57 km/L
zero,18.50 L/100km,4.60 km per L
10.10 L/100 km,7.10 L/100 km,26.88 MPG (AS)
12.10 L/100km,0.65 L/10km,10.44 km/L
24.00 MPG (AS),12.50 km/L,11.12 km per L
,12.40 liters per 100 km,17.24 liters per 100 km
11.30 liters per 100 km,0.88 L/10km,10.18 L/100 km
18.11 mpg Imp.,21.19 MPG (AS),17.33 MPG (AS)
11.50 liters per 100 km,8.10 liters per 100 km,28.33 mpg Imp.
14.00 liters per 100 km,32.85 mpg Imp.,20.33 MPG (AS)
not-available,9.80 L/100km,24.55 MPG (AS)
19.60 MPG (AS),10.00 liters per 100 km,11.10 liters per 100 km
1.89 L/10km,11.40 liters per 100 km,15.53 liters per 100 km
9.10 L/100 km,13.33 km per L,8.38 L/100km
17.17 MPG (AS),10.75 km/L,8.53 km per L
16.60 liters per 100 km,22.60 mpg Imp.,15.94 MPG (AS)
5.95 km per L,,6.92 km/L
21.24 mpg Imp.,8.47 km per L,12.62 L/100 km
7.30 L/100km,15.62 km/L,0.69 L/10km
1.00 L/10km,32.67 MPG (AS),11.44 km per L
zero,10.10 km/L,8.83 km/L
6.02 km per L,12.80 L/100km,1.49 L/10km
5.52 km per L,,17.65 L/100km
16.50 L/100km,23.29 MPG (AS),1.36 L/10km
7.30 km/L,10.20 L/100km,19.40 MPG (AS)
6.49 km/L,28.25 mpg Imp.,12.97 L/100 km
6.76 km/L,17.42 MPG (AS),14.21 L/100 km
8.93 km/L,8.50 L/100km,28.29 mpg Imp.
19.22 mpg Imp.,11.24 km/L,
0.99 L/10km,39.79 mpg Imp.,8.64 liters per 100 km
11.10 L/100 km,40.35 mpg Imp.,9.26 L/100 km
7.81 km/L,0.94 L/10km,
1.22 L/10km,28.00 MPG (AS),22.42 MPG (AS)
6.37 km per L,0.96 L/10km,12.96 L/100 km
7.81 km/L,10.87 km/L,21.04 MPG (AS)
4.50 L/100 km,13.89 km per L,zero
17.77 mpg Imp.,11.90 L/100km,20.03 mpg Imp.
7.04 km per L,1.26 L/10km,13.48 L/100 km
15.35 mpg Imp.,13.00 liters per 100 km,6.26 km per L
1.58 L/10km,8.20 liters per 100 km,8.08 km/L
1.13 L/10km,33.13 MPG (AS),10.63 km/L
1.68 L/10km,1.11 L/10km,7.02 km per L
6.85 km per L,9.90 km/L,12.57 liters per 100 km
11.11 km/L,14.29 km/L,12.35 km per L
zero,9.70 L/100 km,8.60 km per L
20.00 L/100km,9.26 km per L,15.86 L/100km
13.60 MPG (AS),,7.28 km/L
15.20 L/100 km,10.80 liters per 100 km,13.22 liters per 100 km
18.52 MPG (AS),9.26 km per L,23.85 mpg Imp.
11.30 L/100km,8.50 liters per 100 km,not-available
10.64 km per L,12.20 km/L,26.55 MPG (AS)
7.41 km per L,9.20 L/100 km,1.16 L/10km
9.90 L/100km,6.50 liters per 100 km,28.10 MPG (AS)
12.38 MPG (AS),1.16 L/10km,18.03 mpg Imp.
17.55 mpg Imp.,11.24 km per L,12.86 L/100km
12.00 L/100 km,,10.70 km per L
1.93 L/10km,1.00 L/10km,6.62 km/L
11.63 km/L,15.87 km/L,13.22 km/L
10.42 km/L,13.51 km per L,11.61 km/L
22.07 mpg Imp.,30.05 mpg Imp.,20.87 MPG (AS)
17.54 km/L,15.87 km/L,0.60 L/10km
15.08 MPG (AS),10.31 km/L,1.29 L/10km
1.11 L/10km,7.20 L/100 km,9.35 L/100 km
10.80 L/100km,8.80 L/100km,10.10 km per L
13.90 L/100 km,8.40 km/L,21.73 mpg Imp.
13.84 MPG (AS),9.20 liters per 100 km,13.49 L/100 km
32.22 MPG (AS),8.40 L/100 km,0.78 L/10km
12.71 MPG (AS),8.93 km per L,15.21 L/100km
12.60 liters per 100 km,30.95 MPG (AS),27.29 mpg Imp.
30.37 mpg Imp.,0.89 L/10km,25.79 MPG (AS)
17.12 mpg Imp.,8.20 km/L,14.56 L/100 km
10.10 km per L,0.72 L/10km,8.69 liters per 100 km
9.01 km/L,9.00 L/100km,27.82 mpg Imp.
11.63 km per L,13.16 km per L,34.66 mpg Imp.
8.77 km/L,,10.42 km/L
13.50 liters per 100 km,8.50 L/100 km,25.11 mpg Imp.
10.00 km/L,34.09 MPG (AS),0.86 L/10km
21.78 MPG (AS),10.42 km per L,
0.99 L/10km,6.30 liters per 100 km,8.28 L/100 km
11.90 liters per 100 km,26.73 MPG (AS),22.39 MPG (AS)
7.69 km/L,9.01 km per L,12.14 liters per 100 km
8.60 L/100km,35.31 mpg Imp.,8.33 L/100 km
13.60 liters per 100 km,0.82 L/10km,11.17 liters per 100 km
10.80 liters per 100 km,8.90 liters per 100 km,not-available
19.40 L/100 km,16.80 MPG (AS),16.97 liters per 100 km
10.60 liters per 100 km,6.50 liters per 100 km,26.87 MPG (AS)
0.90 L/10km,5.60 L/100 km,31.49 MPG (AS)
1.49 L/10km,32.85 mpg Imp.,8.29 km/L
23.52 MPG (AS),13.33 km per L,31.83 mpg Imp.
1.73 L/10km,12.50 liters per 100 km,6.61 km/L
16.50 liters per 100 km,11.80 L/100km,14.38 L/100 km
,9.90 km per L,7.95 km/L
31.74 mpg Imp.,7.50 liters per 100 km,8.27 L/100 km
10.70 L/100km,8.60 liters per 100 km,9.76 L/100km
1.74 L/10km,8.26 km per L,15.02 liters per 100 km
8.85 km/L,27.16 mpg Imp.,21.59 MPG (AS)
,5.60 L/100 km,0.74 L/10km
1.16 L/10km,32.47 mpg Imp.,10.29 L/100km
24.35 mpg Imp.,,9.62 L/100 km
6.41 km per L,8.50 L/100km,8.06 km/L
1.11 L/10km,7.70 L/100km,10.45 km/L
zero,9.30 L/100 km,8.82 km/L
8.40 km/L,,10.55 L/100km
5.65 km/L,zero,6.75 km per L
16.62 mpg Imp.,11.30 L/100 km,16.29 MPG (AS)
9.40 L/100 km,0.66 L/10km,8.14 liters per 100 km
11.50 L/100 km,8.10 L/100 km,10.03 km/L
9.17 km/L,7.50 liters per 100 km,0.94 L/10km
9.50 liters per 100 km,0.73 L/10km,8.51 L/100 km
35.31 mpg Imp.,7.20 liters per 100 km,30.79 MPG (AS)
12.00 L/100km,8.10 liters per 100 km,1.02 L/10km
5.56 km per L,10.90 L/100km,19.08 mpg Imp.
12.70 liters per 100 km,9.71 km/L,11.62 L/100km
14.17 MPG (AS),11.70 L/100 km,6.95 km/L
23.29 MPG (AS),8.10 liters per 100 km,30.70 mpg Imp.
0.64 L/10km,,16.56 km per L
8.13 km/L,9.60 L/100km,25.48 mpg Imp.
22.40 L/100km,,17.50 L/100km
15.30 liters per 100 km,10.00 L/100 km,7.74 km per L
0.92 L/10km,1.01 L/10km,9.61 L/100 km
11.90 L/100 km,8.10 L/100km,10.19 L/100km
9.00 L/100 km,0.71 L/10km,8.14 L/100 km
13.98 mpg Imp.,22.97 mpg Imp.,16.64 liters per 100 km
4.88 km per L,18.80 liters per 100 km,19.73 L/100km
18.97 MPG (AS),10.40 L/100 km,20.45 MPG (AS)
30.37 mpg Imp.,35.11 MPG (AS),34.75 mpg Imp.
1.70 L/10km,9.00 L/100 km,13.40 liters per 100 km
20.62 mpg Imp.,9.50 L/100km,8.47 km/L
10.60 L/100 km,7.30 L/100 km,9.12 L/100km
13.71 mpg Imp.,9.62 km/L,16.01 liters per 100 km
10.20 km per L,13.33 km/L,26.84 MPG (AS)
10.70 L/100 km,28.00 MPG (AS),9.66 L/100 km
7.50 L/100 km,13.89 km per L,31.94 MPG (AS)
26.65 mpg Imp.,9.80 L/100 km,10.24 L/100km
16.10 L/100 km,8.70 km/L,16.77 MPG (AS)
15.90 L/100 km,1.17 L/10km,14.01 L/100 km
19.40 L/100 km,23.06 MPG (AS),18.51 mpg Imp.
10.10 L/100 km,not-available,9.02 liters per 100 km
9.70 L/100km,6.40 L/100 km,34.39 mpg Imp.
1.47 L/10km,1.15 L/10km,13.26 liters per 100 km
9.80 liters per 100 km,7.60 liters per 100 km,8.81 L/100 km
9.40 L/100 km,7.40 L/100km,
21.78 MPG (AS),12.82 km per L,9.45 L/100km
15.08 MPG (AS),10.00 km/L,13.08 liters per 100 km
5.13 km/L,1.23 L/10km,6.15 km per L
16.70 L/100km,27.97 mpg Imp.,20.57 mpg Imp.
zero,32.47 mpg Imp.,27.38 MPG (AS)
17.40 liters per 100 km,9.09 km per L,14.52 L/100km
11.11 km/L,7.30 liters per 100 km,12.14 km per L
17.22 mpg Imp.,0.62 L/10km,8.47 km/L
8.30 liters per 100 km,30.95 MPG (AS),12.52 km/L
10.00 L/100km,12.20 km per L,0.92 L/10km
10.99 MPG (AS),7.46 km/L,1.78 L/10km
8.77 km per L,0.71 L/10km,10.57 km/L
17.80 L/100km,10.75 km per L,7.16 km/L
18.70 L/100 km,1.11 L/10km,1.53 L/10km
22.24 mpg Imp.,9.50 L/100km,8.88 km/L
34.03 mpg Imp.,15.38 km/L,zero
28.10 liters per 100 km,8.40 km per L,20.81 liters per 100 km
6.80 L/100 km,16.39 km/L,6.49 liters per 100 km
,10.20 L/100 km,8.52 km per L
0.99 L/10km,32.47 mpg Imp.,10.68 km per L
9.01 km/L,1.09 L/10km,25.66 mpg Imp.
17.00 L/100km,0.95 L/10km,13.62 L/100km
9.52 km per L,7.70 liters per 100 km,10.82 km/L
8.90 L/100 km,36.75 MPG (AS),7.78 L/100 km
19.60 MPG (AS),8.60 L/100 km,9.55 km per L
8.90 liters per 100 km,7.20 L/100 km,8.13 L/100 km
18.60 L/100km,1.00 L/10km,14.73 liters per 100 km
10.70 L/100 km,8.00 liters per 100 km,24.80 MPG (AS)
20.70 L/100km,8.62 km/L,16.61 liters per 100 km
8.26 km per L,29.04 MPG (AS),10.30 L/100km
23.81 km per L,0.69 L/10km,5.42 L/100 km
12.90 L/100km,31.36 MPG (AS),10.47 L/100 km
0.85 L/10km,7.20 L/100 km,12.63 km per L
9.26 km/L,,9.81 L/100 km
15.50 L/100km,9.17 km/L,17.51 MPG (AS)
9.10 liters per 100 km,7.50 liters per 100 km,33.71 mpg Imp.
10.60 liters per 100 km,0.83 L/10km,0.96 L/10km
10.00 L/100 km,14.71 km/L,11.68 km per L
22.40 L/100 km,12.80 L/100 km,5.53 km per L
0.89 L/10km,7.50 L/100km,12.09 km per L
10.40 L/100 km,10.75 km/L,23.75 MPG (AS)
12.10 L/100km,29.40 MPG (AS),9.75 km/L
7.75 km per L,9.30 L/100 km,11.28 L/100km
7.10 L/100km,36.75 MPG (AS),14.74 km per L
1.86 L/10km,10.40 L/100 km,15.78 MPG (AS)
14.30 liters per 100 km,,12.95 L/100km
17.10 L/100km,1.07 L/10km,16.54 MPG (AS)
17.30 L/100 km,1.07 L/10km,14.33 L/100 km
1.67 L/10km,20.28 MPG (AS),14.40 L/100 km
5.32 km/L,8.77 km/L,15.20 MPG (AS)
9.50 L/100 km,6.50 L/100 km,12.27 km/L
1.59 L/10km,1.15 L/10km,13.92 L/100km
20.20 L/100 km,14.30 L/100km,1.75 L/10km
5.15 km/L,13.50 L/100 km,16.75 L/100km
16.00 liters per 100 km,28.25 mpg Imp.,7.52 km per L
32.85 mpg Imp.,35.11 MPG (AS),7.75 liters per 100 km
9.80 km/L,31.36 MPG (AS),8.98 L/100 km
12.10 liters per 100 km,8.70 liters per 100 km,1.06 L/10km
10.50 L/100 km,55.39 mpg Imp.,0.81 L/10km
28.53 mpg Imp.,13.51 km per L,8.78 liters per 100 km
6.94 km per L,9.17 km/L,7.80 km/L
not-available,14.93 km/L,zero
30.37 mpg Imp.,0.77 L/10km,11.66 km per L
22.07 mpg Imp.,20.10 MPG (AS),1.23 L/10km
17.42 MPG (AS),23.52 MPG (AS),11.93 L/100 km
57.65 mpg Imp.,4.60 liters per 100 km,20.99 km/L
14.70 liters per 100 km,10.31 km per L,22.69 mpg Imp.
9.52 km/L,15.38 km/L,
6.54 km/L,10.10 L/100km,
not-available,30.70 mpg Imp.,19.96 MPG (AS)
27.35 MPG (AS),30.16 MPG (AS),34.28 mpg Imp.
25.22 mpg Imp.,14.93 km/L,9.18 L/100km
49.56 mpg Imp.,0.70 L/10km,15.91 km/L
8.85 km/L,34.03 mpg Imp.,9.95 L/100 km
1.66 L/10km,8.90 L/100 km,7.61 km/L
7.41 km/L,9.17 km per L,1.23 L/10km
10.87 km/L,13.51 km/L,8.39 L/100km
10.40 L/100km,37.66 mpg Imp.,11.00 km/L
23.94 mpg Imp.,10.64 km per L,26.35 mpg Imp.
1.61 L/10km,7.30 km/L,18.81 mpg Imp.
15.00 L/100km,9.52 km/L,12.97 L/100km
7.41 km per L,20.45 MPG (AS),1.26 L/10km
4.20 liters per 100 km,13.33 km per L,49.69 mpg Imp.
6.13 km per L,8.30 liters per 100 km,18.52 MPG (AS)
26.16 mpg Imp.,25.02 MPG (AS),23.13 MPG (AS)
6.02 km per L,1.24 L/10km,6.80 km per L
12.82 km/L,13.33 km/L,13.05 km per L
17.82 MPG (AS),9.80 L/100 km,1.17 L/10km
not-available,12.40 liters per 100 km,13.39 L/100km
9.10 liters per 100 km,7.00 L/100 km,34.64 mpg Imp.
,18.38 MPG (AS),1.60 L/10km
17.04 MPG (AS),9.71 km per L,8.18 km/L
13.20 L/100 km,26.14 MPG (AS),8.84 km/L
0.99 L/10km,0.86 L/10km,9.31 liters per 100 km
21.38 MPG (AS),7.80 L/100 km,9.56 L/100 km
13.33 km per L,22.19 MPG (AS),26.44 MPG (AS)
1.29 L/10km,10.53 km per L,11.37 L/100 km
31.36 MPG (AS),7.90 L/100km,36.78 mpg Imp.
,12.40 liters per 100 km,6.75 km/L
5.10 liters per 100 km,not-available,0.63 L/10km
15.20 L/100 km,22.84 MPG (AS),21.74 mpg Imp.
12.40 liters per 100 km,10.90 L/100 km,8.53 km/L
17.30 liters per 100 km,12.70 L/100km,15.23 liters per 100 km
1.35 L/10km,10.10 L/100 km,11.97 liters per 100 km
8.33 km/L,,not-available
9.30 liters per 100 km,40.35 mpg Imp.,34.18 mpg Imp.
6.99 km/L,12.05 km per L,11.60 L/100 km
0.77 L/10km,7.40 L/100km,13.22 km per L
0.92 L/10km,30.95 MPG (AS),0.85 L/10km
9.52 km per L,0.79 L/10km,25.21 MPG (AS)
14.89 MPG (AS),10.90 L/100 km,13.60 L/100km
17.82 MPG (AS),23.29 MPG (AS),
5.41 km per L,9.43 km per L,6.69 km/L
1.62 L/10km,,7.58 km/L
14.79 MPG (AS),14.71 km per L,8.47 km per L
10.90 L/100 km,10.70 liters per 100 km,21.76 MPG (AS)
19.60 MPG (AS),38.17 mpg Imp.,9.93 L/100km
8.77 km/L,29.77 MPG (AS),0.98 L/10km
10.10 km/L,0.68 L/10km,0.85 L/10km
16.33 mpg Imp.,9.70 liters per 100 km,1.39 L/10km
1.14 L/10km,6.90 liters per 100 km,25.09 MPG (AS)
11.36 km per L,6.80 liters per 100 km,29.77 MPG (AS)
14.40 L/100 km,9.09 km/L,12.87 liters per 100 km
6.13 km per L,10.53 km/L,17.77 MPG (AS)
12.50 L/100 km,10.64 km per L,25.44 mpg Imp.
,41.54 mpg Imp.,26.96 MPG (AS)
11.70 L/100km,9.90 km/L,10.98 liters per 100 km
5.81 km/L,25.29 MPG (AS),17.24 MPG (AS)
18.00 L/100 km,10.70 L/100km,15.98 MPG (AS)
18.96 mpg Imp.,8.85 km per L,7.53 km per L
6.58 km/L,,11.96 L/100km
9.62 km/L,12.05 km per L,24.88 MPG (AS)
13.44 MPG (AS),1.75 L/10km,5.71 km/L
12.50 L/100km,13.51 km per L,23.05 MPG (AS)
14.49 mpg Imp.,15.27 MPG (AS),5.66 km per L
9.80 km/L,12.50 km/L,9.21 L/100km
12.78 mpg Imp.,7.46 km per L,18.18 liters per 100 km
9.60 L/100km,28.68 MPG (AS),0.90 L/10km
13.20 liters per 100 km,12.82 km per L,10.77 L/100km
19.35 mpg Imp.,17.96 MPG (AS),1.39 L/10km
4.20 L/100 km,16.39 km/L,19.78 km per L
18.34 mpg Imp.,zero,13.42 L/100km
8.62 km per L,31.04 mpg Imp.,26.97 mpg Imp.
23.94 mpg Imp.,10.50 liters per 100 km,25.19 mpg Imp.
8.50 liters per 100 km,13.89 km per L,
7.80 L/100km,6.60 liters per 100 km,7.26 L/100km
14.79 MPG (AS),8.85 km/L,17.01 MPG (AS)
9.35 km/L,14.49 km per L,8.99 L/100km
56.00 MPG (AS),7.50 L/100 km,41.37 MPG (AS)
8.40 km per L,36.22 mpg Imp.,9.95 km/L
10.10 km/L,8.20 L/100 km,0.91 L/10km
1.54 L/10km,13.51 km per L,11.80 L/100km
13.84 MPG (AS),12.30 L/100km,6.72 km per L
9.60 liters per 100 km,13.16 km per L,11.49 km per L
1.39 L/10km,9.80 L/100km,12.05 L/100 km
10.99 km per L,0.75 L/10km,33.71 mpg Imp.
23.74 mpg Imp.,8.90 L/100km,9.48 km per L
1.07 L/10km,7.50 L/100km,25.40 MPG (AS)
9.01 km per L,10.99 km per L,27.69 mpg Imp.
2.20 L/10km,7.52 km/L,5.53 km/L
5.52 km/L,10.20 L/100 km,14.54 liters per 100 km
6.41 km/L,9.17 km per L,13.48 L/100km
7.19 km per L,9.52 km/L,12.37 liters per 100 km
,14.08 km/L,8.86 liters per 100 km
9.71 km per L,29.04 MPG (AS),9.31 L/100km
16.11 MPG (AS),10.53 km per L,12.30 L/100km
9.70 liters per 100 km,,10.78 liters per 100 km
15.18 MPG (AS),9.80 L/100 km,18.18 MPG (AS)
8.60 L/100km,15.62 km/L,7.61 L/100 km
7.94 km/L,30.16 MPG (AS),1.04 L/10km
27.69 mpg Imp.,7.50 L/100km,11.13 km/L
10.10 L/100km,7.20 L/100km,0.88 L/10km
17.10 liters per 100 km,10.20 km/L,1.38 L/10km
5.56 km/L,14.10 L/100 km,16.25 L/100 km
13.68 MPG (AS),12.30 liters per 100 km,6.67 km/L
12.00 liters per 100 km,11.63 km per L,10.47 L/100km
11.63 km per L,35.11 MPG (AS),7.75 liters per 100 km
20.10 MPG (AS),29.40 MPG (AS),9.97 km/L
7.52 km per L,0.85 L/10km,8.98 km/L
8.70 L/100km,13.16 km per L,12.19 km/L
not-available,0.59 L/10km,not-available
6.90 L/100km,12.35 km/L,13.44 km per L
16.50 liters per 100 km,10.60 liters per 100 km,16.99 MPG (AS)
17.30 L/100 km,8.40 km per L,14.87 liters per 100 km
17.77 mpg Imp.,13.30 L/100 km,6.79 km per L
52.27 MPG (AS),6.00 L/100 km,5.17 liters per 100 km
26.65 mpg Imp.,7.50 L/100km,10.86 km/L
9.40 L/100km,35.31 mpg Imp.,8.77 L/100km
67.26 mpg Imp.,17.55 MPG (AS),0.83 L/10km
12.12 mpg Imp.,25.00 mpg Imp.,1.79 L/10km
0.88 L/10km,8.00 liters per 100 km,8.44 L/100km
1.14 L/10km,12.20 km per L,9.96 L/100 km
61.41 mpg Imp.,6.20 liters per 100 km,0.53 L/10km
24.35 mpg Imp.,11.36 km/L,10.34 L/100 km
1.08 L/10km,7.30 L/100km,9.22 liters per 100 km
7.19 km/L,0.84 L/10km,8.75 km/L
13.90 L/100 km,12.20 liters per 100 km,21.51 mpg Imp.
10.40 L/100 km,13.51 km/L,0.91 L/10km
17.02 mpg Imp.,9.17 km per L,20.13 mpg Imp.
15.37 MPG (AS),18.09 MPG (AS),16.49 MPG (AS)
35.31 mpg Imp.,7.10 liters per 100 km,30.97 MPG (AS)
23.94 mpg Imp.,28.00 MPG (AS),10.27 L/100km
8.62 km per L,0.61 L/10km,0.91 L/10km
9.70 liters per 100 km,9.30 L/100km,10.50 km/L
8.06 km per L,26.73 MPG (AS),10.78 L/100km
6.45 km/L,8.50 L/100km,1.24 L/10km
16.80 liters per 100 km,11.63 km/L,21.55 mpg Imp.
11.80 L/100 km,28.82 mpg Imp.,9.17 km/L
6.54 km per L,9.60 liters per 100 km,7.85 km per L
27.04 MPG (AS),15.87 km per L,13.12 km/L
8.13 km/L,0.88 L/10km,10.72 L/100 km
26.16 mpg Imp.,13.51 km per L,10.79 km/L
7.87 km per L,9.60 L/100km,8.85 km per L
9.60 L/100km,8.50 L/100km,9.11 L/100km
11.36 km per L,7.10 liters per 100 km,zero
21.56 mpg Imp.,9.40 L/100 km,11.44 liters per 100 km
11.00 liters per 100 km,9.90 km per L,26.66 mpg Imp.
18.10 L/100 km,,1.46 L/10km
7.69 km/L,not-available,8.82 km per L
21.00 MPG (AS),8.60 L/100km,23.45 MPG (AS)
0.42 L/10km,12.82 km per L,5.82 L/100km
11.80 L/100 km,11.24 km/L,9.53 km per L
7.52 km/L,31.36 MPG (AS),10.69 L/100 km
0.88 L/10km,32.67 MPG (AS),8.08 liters per 100 km
11.63 km per L,33.63 mpg Imp.,11.75 km/L
0.96 L/10km,13.70 km per L,8.56 L/100 km
26.43 MPG (AS),34.09 MPG (AS),12.50 km/L
15.47 MPG (AS),8.13 km per L,20.33 mpg Imp.
11.90 L/100km,8.10 liters per 100 km,10.19 L/100 km
20.00 L/100 km,1.30 L/10km,16.85 liters per 100 km
7.80 L/100 km,13.33 km/L,7.67 L/100 km
0.46 L/10km,6.60 L/100km,18.18 km/L
27.43 mpg Imp.,0.95 L/10km,28.42 mpg Imp.
19.10 liters per 100 km,7.19 km/L,16.76 L/100 km
19.44 MPG (AS),36.69 mpg Imp.,10.12 L/100km
10.80 liters per 100 km,,9.36 liters per 100 km
24.25 MPG (AS),14.29 km per L,11.79 km/L
0.84 L/10km,,29.76 MPG (AS)
13.07 MPG (AS),23.52 MPG (AS),
7.14 km/L,9.20 L/100 km,11.84 liters per 100 km
1.09 L/10km,not-available,9.91 km/L
20.28 MPG (AS),26.90 mpg Imp.,11.11 L/100 km
7.58 km/L,33.63 mpg Imp.,9.06 km/L
21.00 MPG (AS),9.01 km/L,11.15 liters per 100 km
14.20 L/100km,1.15 L/10km,12.98 L/100km
33.63 mpg Imp.,0.74 L/10km,7.95 liters per 100 km
8.40 L/100km,6.20 liters per 100 km,13.50 km/L
8.20 L/100 km,39.79 mpg Imp.,12.98 km per L
,24.00 MPG (AS),7.30 km/L
6.45 km/L,9.10 L/100km,
8.10 liters per 100 km,37.66 mpg Imp.,7.83 L/100 km
10.70 L/100km,0.90 L/10km,10.07 km per L
7.46 km per L,9.00 liters per 100 km,11.42 liters per 100 km
0.87 L/10km,13.51 km per L,8.12 L/100km
1.08 L/10km,0.74 L/10km,9.27 L/100km
30.05 mpg Imp.,7.00 L/100 km,
5.30 liters per 100 km,7.70 L/100 km,6.38 liters per 100 km
11.90 liters per 100 km,10.99 km/L,10.64 L/100km
16.60 L/100km,10.90 liters per 100 km,14.04 liters per 100 km
7.20 L/100 km,0.79 L/10km,0.75 L/10km
17.33 mpg Imp.,19.28 MPG (AS),16.27 MPG (AS)
10.90 liters per 100 km,6.70 L/100 km,31.35 mpg Imp.
13.60 MPG (AS),8.10 L/100 km,13.16 L/100 km
17.00 L/100 km,12.30 L/100 km,6.72 km per L
2.15 L/10km,10.90 L/100 km,16.73 L/100km
11.10 L/100 km,6.70 L/100km,0.91 L/10km
16.70 liters per 100 km,23.54 mpg Imp.,6.86 km per L
7.90 L/100km,12.66 km/L,0.79 L/10km
7.20 L/100km,14.71 km per L,7.02 L/100km
9.40 L/100km,15.38 km/L,12.35 km/L
1.68 L/10km,24.76 MPG (AS),13.52 liters per 100 km
6.67 km per L,9.26 km per L,7.63 km per L
7.90 liters per 100 km,0.83 L/10km,34.96 mpg Imp.
12.70 liters per 100 km,12.35 km/L,22.13 MPG (AS)
11.30 L/100 km,11.10 L/100 km,11.21 L/100 km
15.90 liters per 100 km,20.28 MPG (AS),20.23 mpg Imp.
13.07 MPG (AS),12.50 liters per 100 km,6.44 km/L
11.80 liters per 100 km,9.50 L/100km,zero
22.42 mpg Imp.,0.82 L/10km,9.42 km per L
,28.25 mpg Imp.,13.90 L/100 km
16.70 liters per 100 km,10.10 km per L,13.64 L/100 km
6.06 km/L,11.40 L/100km,14.21 liters per 100 km
5.50 L/100km,33.23 mpg Imp.,0.69 L/10km
7.19 km/L,12.05 km/L,8.79 km/L
12.60 L/100km,8.70 L/100 km,9.22 km per L
9.20 L/100km,5.80 L/100km,13.04 km per L
14.00 liters per 100 km,9.17 km per L,1.26 L/10km
1.83 L/10km,8.85 km/L,15.53 MPG (AS)
0.98 L/10km,0.90 L/10km,9.44 L/100 km
17.82 MPG (AS),8.00 L/100 km,21.66 MPG (AS)
12.10 L/100km,11.40 L/100 km,11.79 liters per 100 km
0.54 L/10km,6.40 liters per 100 km,17.09 km per L
23.06 MPG (AS),11.63 km/L,29.80 mpg Imp.
5.26 km/L,10.40 L/100 km,15.55 MPG (AS)
17.24 km per L,47.88 mpg Imp.,40.24 MPG (AS)
29.73 mpg Imp.,7.70 L/100km,8.69 L/100 km
10.10 L/100 km,0.70 L/10km,8.71 L/100km
not-available,37.66 mpg Imp.,9.81 km per L
18.97 MPG (AS),30.16 MPG (AS),9.68 km per L
18.97 MPG (AS),11.90 km/L,10.60 L/100 km
5.10 liters per 100 km,5.80 L/100 km,18.47 km per L
19.93 MPG (AS),31.79 MPG (AS),10.18 km per L
7.90 liters per 100 km,7.30 L/100 km,13.11 km per L
26.16 mpg Imp.,7.40 L/100 km,25.37 MPG (AS)
